Year,Month,Date,Expense,,300405,17.93%
2024,1,1/1/24,9306,,,
2024,1,1/2/24,9875,,,
2024,1,1/3/24,10048,,,
2024,1,1/4/24,9699,,,
2024,1,1/5/24,11679,,,
2024,1,1/6/24,10718,,,
2024,1,1/7/24,11281,,,
2024,1,1/8/24,10899,,,
2024,1,1/9/24,9404,,,
2024,1,1/10/24,10126,,,
2024,1,1/11/24,10839,,,
2024,1,1/12/24,9267,,,
2024,1,1/13/24,10491,,,
2024,1,1/14/24,9271,,,
2024,1,1/15/24,8044,,,
2024,1,1/16/24,8535,,,
2024,1,1/17/24,10467,,,
2024,1,1/18/24,9099,,,
2024,1,1/19/24,8636,,,
2024,1,1/20/24,11453,,,
2024,1,1/21/24,7994,,,
2024,1,1/22/24,10115,,,
2024,1,1/23/24,8701,,,
2024,1,1/24/24,8519,,,
2024,1,1/25/24,8278,,,
2024,1,1/26/24,7902,,,
2024,1,1/27/24,9102,,,
2024,1,1/28/24,10048,,,
2024,1,1/29/24,11637,,,
2024,1,1/30/24,10384,,,
2024,1,1/31/24,8588,,,
2024,2,2/1/24,9196,,,
2024,2,2/2/24,9704,,,
2024,2,2/3/24,10061,,,
2024,2,2/4/24,11850,,,
2024,2,2/5/24,10037,,,
2024,2,2/6/24,13457,,,
2024,2,2/7/24,10758,,,
2024,2,2/8/24,11494,,,
2024,2,2/9/24,12232,,,
2024,2,2/10/24,11797,,,
2024,2,2/11/24,12788,,,
2024,2,2/12/24,10991,,,
2024,2,2/13/24,10501,,,
2024,2,2/14/24,9706,,,
2024,2,2/15/24,11494,,,
2024,2,2/16/24,13143,,,
2024,2,2/17/24,13371,,,
2024,2,2/18/24,10217,,,
2024,2,2/19/24,9778,,,
2024,2,2/20/24,9418,,,
2024,2,2/21/24,12629,,,
2024,2,2/22/24,12476,,,
2024,2,2/23/24,11670,,,
2024,2,2/24/24,10917,,,
2024,2,2/25/24,10159,,,
2024,2,2/26/24,12527,,,
2024,2,2/27/24,12637,,,
2024,2,2/28/24,9374,,,
2024,2,2/29/24,9638,,,
2024,3,3/1/24,11869,,,
2024,3,3/2/24,12324,,,
2024,3,3/3/24,12785,,,
2024,3,3/4/24,9994,,,
2024,3,3/5/24,12869,,,
2024,3,3/6/24,9426,,,
2024,3,3/7/24,10758,,,
2024,3,3/8/24,9473,,,
2024,3,3/9/24,9700,,,
2024,3,3/10/24,11747,,,
2024,3,3/11/24,12732,,,
2024,3,3/12/24,12984,,,
2024,3,3/13/24,13561,,,
2024,3,3/14/24,12222,,,
2024,3,3/15/24,10087,,,
2024,3,3/16/24,12925,,,
2024,3,3/17/24,11213,,,
2024,3,3/18/24,11761,,,
2024,3,3/19/24,9367,,,
2024,3,3/20/24,9089,,,
2024,3,3/21/24,11692,,,
2024,3,3/22/24,11609,,,
2024,3,3/23/24,13415,,,
2024,3,3/24/24,12157,,,
2024,3,3/25/24,10259,,,
2024,3,3/26/24,10788,,,
2024,3,3/27/24,9460,,,
2024,3,3/28/24,12861,,,
2024,3,3/29/24,11072,,,
2024,3,3/30/24,10575,,,
2024,3,3/31/24,11510,,,
2024,4,4/1/24,10528,,,
2024,4,4/2/24,11345,,,
2024,4,4/3/24,8377,,,
2024,4,4/4/24,10311,,,
2024,4,4/5/24,8764,,,
2024,4,4/6/24,10361,,,
2024,4,4/7/24,10849,,,
2024,4,4/8/24,10327,,,
2024,4,4/9/24,12213,,,
2024,4,4/10/24,10910,,,
2024,4,4/11/24,12407,,,
2024,4,4/12/24,11487,,,
2024,4,4/13/24,12431,,,
2024,4,4/14/24,11056,,,
2024,4,4/15/24,11866,,,
2024,4,4/16/24,9664,,,
2024,4,4/17/24,11459,,,
2024,4,4/18/24,11062,,,
2024,4,4/19/24,8853,,,
2024,4,4/20/24,10327,,,
2024,4,4/21/24,11938,,,
2024,4,4/22/24,8616,,,
2024,4,4/23/24,8655,,,
2024,4,4/24/24,11740,,,
2024,4,4/25/24,9014,,,
2024,4,4/26/24,10999,,,
2024,4,4/27/24,8928,,,
2024,4,4/28/24,10559,,,
2024,4,4/29/24,9799,,,
2024,4,4/30/24,11294,,,
2024,5,5/1/24,9040,,,
2024,5,5/2/24,9266,,,
2024,5,5/3/24,8302,,,
2024,5,5/4/24,9775,,,
2024,5,5/5/24,10661,,,
2024,5,5/6/24,7607,,,
2024,5,5/7/24,11124,,,
2024,5,5/8/24,8900,,,
2024,5,5/9/24,10163,,,
2024,5,5/10/24,10090,,,
2024,5,5/11/24,8438,,,
2024,5,5/12/24,9127,,,
2024,5,5/13/24,8720,,,
2024,5,5/14/24,7938,,,
2024,5,5/15/24,10951,,,
2024,5,5/16/24,8379,,,
2024,5,5/17/24,9948,,,
2024,5,5/18/24,8062,,,
2024,5,5/19/24,10328,,,
2024,5,5/20/24,10899,,,
2024,5,5/21/24,9915,,,
2024,5,5/22/24,8688,,,
2024,5,5/23/24,9025,,,
2024,5,5/24/24,10221,,,
2024,5,5/25/24,9321,,,
2024,5,5/26/24,9464,,,
2024,5,5/27/24,8229,,,
2024,5,5/28/24,8635,,,
2024,5,5/29/24,7891,,,
2024,5,5/30/24,11013,,,
2024,5,5/31/24,10591,,,
2024,6,6/1/24,9763,,,
2024,6,6/2/24,9248,,,
2024,6,6/3/24,12856,,,
2024,6,6/4/24,9519,,,
2024,6,6/5/24,9310,,,
2024,6,6/6/24,13060,,,
2024,6,6/7/24,10205,,,
2024,6,6/8/24,12001,,,
2024,6,6/9/24,13423,,,
2024,6,6/10/24,12793,,,
2024,6,6/11/24,11555,,,
2024,6,6/12/24,11632,,,
2024,6,6/13/24,13388,,,
2024,6,6/14/24,9317,,,
2024,6,6/15/24,9229,,,
2024,6,6/16/24,9300,,,
2024,6,6/17/24,10750,,,
2024,6,6/18/24,11832,,,
2024,6,6/19/24,10833,,,
2024,6,6/20/24,10224,,,
2024,6,6/21/24,12587,,,
2024,6,6/22/24,10907,,,
2024,6,6/23/24,9641,,,
2024,6,6/24/24,12379,,,
2024,6,6/25/24,9741,,,
2024,6,6/26/24,10073,,,
2024,6,6/27/24,13339,,,
2024,6,6/28/24,9652,,,
2024,6,6/29/24,10370,,,
2024,6,6/30/24,11764,,,
2024,7,7/1/24,10512,,,
2024,7,7/2/24,9070,,,
2024,7,7/3/24,10849,,,
2024,7,7/4/24,9037,,,
2024,7,7/5/24,8932,,,
2024,7,7/6/24,9740,,,
2024,7,7/7/24,9744,,,
2024,7,7/8/24,10300,,,
2024,7,7/9/24,8517,,,
2024,7,7/10/24,8969,,,
2024,7,7/11/24,8367,,,
2024,7,7/12/24,7636,,,
2024,7,7/13/24,8247,,,
2024,7,7/14/24,10328,,,
2024,7,7/15/24,10648,,,
2024,7,7/16/24,7728,,,
2024,7,7/17/24,10728,,,
2024,7,7/18/24,10433,,,
2024,7,7/19/24,7766,,,
2024,7,7/20/24,7765,,,
2024,7,7/21/24,9583,,,
2024,7,7/22/24,9397,,,
2024,7,7/23/24,9838,,,
2024,7,7/24/24,10824,,,
2024,7,7/25/24,10204,,,
2024,7,7/26/24,11011,,,
2024,7,7/27/24,10316,,,
2024,7,7/28/24,9589,,,
2024,7,7/29/24,10413,,,
2024,7,7/30/24,9470,,,
2024,7,7/31/24,11047,,,
2024,8,8/1/24,11826,,,
2024,8,8/2/24,9806,,,
2024,8,8/3/24,10716,,,
2024,8,8/4/24,10742,,,
2024,8,8/5/24,11640,,,
2024,8,8/6/24,11948,,,
2024,8,8/7/24,10921,,,
2024,8,8/8/24,10033,,,
2024,8,8/9/24,12867,,,
2024,8,8/10/24,9704,,,
2024,8,8/11/24,9339,,,
2024,8,8/12/24,12508,,,
2024,8,8/13/24,12306,,,
2024,8,8/14/24,10878,,,
2024,8,8/15/24,9473,,,
2024,8,8/16/24,9729,,,
2024,8,8/17/24,12445,,,
2024,8,8/18/24,9841,,,
2024,8,8/19/24,9329,,,
2024,8,8/20/24,9651,,,
2024,8,8/21/24,11519,,,
2024,8,8/22/24,9297,,,
2024,8,8/23/24,10014,,,
2024,8,8/24/24,10889,,,
2024,8,8/25/24,9622,,,
2024,8,8/26/24,9271,,,
2024,8,8/27/24,9104,,,
2024,8,8/28/24,8651,,,
2024,8,8/29/24,12170,,,
2024,8,8/30/24,11774,,,
2024,8,8/31/24,9912,,,
2024,9,9/1/24,8788,,,
2024,9,9/2/24,9768,,,
2024,9,9/3/24,8633,,,
2024,9,9/4/24,11924,,,
2024,9,9/5/24,11946,,,
2024,9,9/6/24,9513,,,
2024,9,9/7/24,8392,,,
2024,9,9/8/24,8403,,,
2024,9,9/9/24,10187,,,
2024,9,9/10/24,8751,,,
2024,9,9/11/24,10031,,,
2024,9,9/12/24,12151,,,
2024,9,9/13/24,8378,,,
2024,9,9/14/24,11711,,,
2024,9,9/15/24,9462,,,
2024,9,9/16/24,9083,,,
2024,9,9/17/24,8877,,,
2024,9,9/18/24,9235,,,
2024,9,9/19/24,10872,,,
2024,9,9/20/24,11057,,,
2024,9,9/21/24,8519,,,
2024,9,9/22/24,9335,,,
2024,9,9/23/24,10478,,,
2024,9,9/24/24,10876,,,
2024,9,9/25/24,8865,,,
2024,9,9/26/24,11647,,,
2024,9,9/27/24,8248,,,
2024,9,9/28/24,8674,,,
2024,9,9/29/24,10006,,,
2024,9,9/30/24,10463,,,
2024,10,10/1/24,8774,,,
2024,10,10/2/24,11262,,,
2024,10,10/3/24,10578,,,
2024,10,10/4/24,8601,,,
2024,10,10/5/24,10366,,,
2024,10,10/6/24,11725,,,
2024,10,10/7/24,8502,,,
2024,10,10/8/24,8349,,,
2024,10,10/9/24,10364,,,
2024,10,10/10/24,10383,,,
2024,10,10/11/24,8240,,,
2024,10,10/12/24,9167,,,
2024,10,10/13/24,10424,,,
2024,10,10/14/24,10199,,,
2024,10,10/15/24,9783,,,
2024,10,10/16/24,11893,,,
2024,10,10/17/24,10273,,,
2024,10,10/18/24,10012,,,
2024,10,10/19/24,10449,,,
2024,10,10/20/24,10267,,,
2024,10,10/21/24,9145,,,
2024,10,10/22/24,10996,,,
2024,10,10/23/24,9037,,,
2024,10,10/24/24,10974,,,
2024,10,10/25/24,8925,,,
2024,10,10/26/24,10171,,,
2024,10,10/27/24,8971,,,
2024,10,10/28/24,8807,,,
2024,10,10/29/24,8731,,,
2024,10,10/30/24,10409,,,
2024,10,10/31/24,11592,,,
2024,11,11/1/24,9408,,,
2024,11,11/2/24,8731,,,
2024,11,11/3/24,10687,,,
2024,11,11/4/24,9960,,,
2024,11,11/5/24,12114,,,
2024,11,11/6/24,8544,,,
2024,11,11/7/24,9268,,,
2024,11,11/8/24,8916,,,
2024,11,11/9/24,12144,,,
2024,11,11/10/24,8965,,,
2024,11,11/11/24,9441,,,
2024,11,11/12/24,11044,,,
2024,11,11/13/24,8312,,,
2024,11,11/14/24,9710,,,
2024,11,11/15/24,10816,,,
2024,11,11/16/24,8668,,,
2024,11,11/17/24,9689,,,
2024,11,11/18/24,8216,,,
2024,11,11/19/24,10269,,,
2024,11,11/20/24,12040,,,
2024,11,11/21/24,12125,,,
2024,11,11/22/24,8210,,,
2024,11,11/23/24,8418,,,
2024,11,11/24/24,9633,,,
2024,11,11/25/24,9843,,,
2024,11,11/26/24,9324,,,
2024,11,11/27/24,10009,,,
2024,11,11/28/24,11524,,,
2024,11,11/29/24,11287,,,
2024,11,11/30/24,11008,,,
2024,12,12/1/24,11799,,,
2024,12,12/2/24,12033,,,
2024,12,12/3/24,10320,,,
2024,12,12/4/24,10674,,,
2024,12,12/5/24,12030,,,
2024,12,12/6/24,15141,,,
2024,12,12/7/24,14078,,,
2024,12,12/8/24,12629,,,
2024,12,12/9/24,12804,,,
2024,12,12/10/24,12180,,,
2024,12,12/11/24,14220,,,
2024,12,12/12/24,12489,,,
2024,12,12/13/24,11026,,,
2024,12,12/14/24,11298,,,
2024,12,12/15/24,13587,,,
2024,12,12/16/24,12971,,,
2024,12,12/17/24,10493,,,
2024,12,12/18/24,12150,,,
2024,12,12/19/24,11647,,,
2024,12,12/20/24,13972,,,
2024,12,12/21/24,10499,,,
2024,12,12/22/24,12701,,,
2024,12,12/23/24,11403,,,
2024,12,12/24/24,14341,,,
2024,12,12/25/24,12994,,,
2024,12,12/26/24,13531,,,
2024,12,12/27/24,12951,,,
2024,12,12/28/24,11183,,,
2024,12,12/29/24,13212,,,
2024,12,12/30/24,14083,,,
2024,12,12/31/24,13054,,,
